ld,paper,seq,date,chamber,description
1,SP0029,0,2025-01-08,Senate,Committee on APPROPRIATIONS AND FINANCIAL AFFAIRS suggested and ordered printed REFERENCE to the Committee on APPROPRIATIONS AND FINANCIAL AFFAIRS Ordered sent down forthwith for concurrence
1,SP0029,1,2025-01-08,House,The Bill was REFERRED to the Committee on APPROPRIATIONS AND FINANCIAL AFFAIRS . In concurrence. ORDERED SENT FORTHWITH.
1,SP0029,2,2025-01-21,Senate,Report READ and ACCEPTED On motion by Senator ROTUNDO of Androscoggin for the Committee on Appropriations and Financial Affairs the Bill was REFERRED to the Committee on HOUSING AND ECONOMIC DEVELOPMENT Sent down for concurrence
1,SP0029,3,2025-01-28,House,Report was READ and ACCEPTED . The Bill was REFERRED to the Committee on HOUSING AND ECONOMIC DEVELOPMENT In concurrence. ORDERED SENT FORTHWITH.
1,SP0029,4,2025-03-21,Senate,"CARRIED OVER , in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519."
1,SP0029,5,2025-04-08,Senate,"Report READ and ACCEPTED . READ ONCE . Committee Amendment ""A"" (S-9) READ and ADOPTED . Under suspension of the Rules, READ A SECOND TIME and PASSED TO BE ENGROSSED AS AMENDED BY Committee Amendment ""A"" (S-9) . Ordered sent down forthwith for concurrence."
1,SP0029,6,2025-04-10,House,"CONSENT CALENDAR - FIRST DAY Under suspension of the rules CONSENT CALENDAR - SECOND DAY. The Bill was PASSED TO BE ENGROSSED as Amended by Committee Amendment ""A"" (S-9) . In concurrence. ORDERED SENT FORTHWITH."
1,SP0029,7,2025-04-15,House,"This being an emergency measure, a two-thirds vote of all the members elected to the House was necessary. PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH."
1,SP0029,8,2025-04-17,Senate,"On motion by Senator PIERCE of Cumberland Tabled until Later in Today's Session, pending ENACTMENT Unfinished Business"
1,SP0029,9,2025-04-22,Senate,"Taken from the table by the President PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence."
2,SP0011,0,2025-01-08,Senate,"Received by the Secretary of the Senate on January 6, 2025 and REFERRED to the Committee on TRANSPORTATION pursuant to Joint Rule 308.2"
2,SP0011,1,2025-03-21,Senate,"CARRIED OVER , in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519."
2,SP0011,2,2025-04-01,Senate,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)
3,SP0012,0,2025-01-08,Senate,"Received by the Secretary of the Senate on January 6, 2025 and REFERRED to the Committee on STATE AND LOCAL GOVERNMENT pursuant to Joint Rule 308.2"
3,SP0012,1,2025-03-21,Senate,"CARRIED OVER , in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519."
3,SP0012,2,2025-05-29,Senate,"Reports READ On motion by Senator BALDACCI of Penobscot The Majority Ought to Pass As Amended Report ACCEPTED. Bill READ ONCE. Committee Amendment ""A"" (S-180) READ and ADOPTED. Under suspension of the Rules, READ A SECOND TIME and PASSED TO BE ENGROSSED AS AMENDED by Committee Amendment ""A"" (S-180) Ordered sent down forthwith for concurrence"
3,SP0012,3,2025-06-02,House,"Reports READ . On motion of Representative SALISBURY of Westbrook, the Majority Ought to Pass as Amended Report was ACCEPTED . The Bill was READ ONCE . Committee Amendment ""A"" (S-180) was READ and ADOPTED . Under suspension of the rules, the Bill was given its SECOND READING without REFERENCE to the Committee on Bills in the Second Reading . The Bill was PASSED TO BE ENGROSSED as Amended by Committee Amendment ""A"" (S-180) . In concurrence. ORDERED SENT FORTHWITH."
3,SP0012,4,2025-06-02,House,PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.
3,SP0012,5,2025-06-02,Senate,"PASSED TO BE ENACTED , in concurrence."
4,SP0013,0,2025-01-08,Senate,"Received by the Secretary of the Senate on January 6, 2025 and REFERRED to the Committee on STATE AND LOCAL GOVERNMENT pursuant to Joint Rule 308.2"
4,SP0013,1,2025-03-21,Senate,"CARRIED OVER , in the same posture, to the next special or regular session of the 132nd Legislature, pursuant to Joint Order SP 519."
