ld,paper,label,adopted,new_title,house_action,senate_action
1,SP0029,"C ""A"" (S-9 )",True,,Adopted on 4/10/2025,Adopted on 4/8/2025
3,SP0012,"C ""A"" (S-180 )",True,,Adopted on 6/2/2025,Adopted on 5/9/2025
4,SP0013,"C ""A"" (S-139 )",False,,,
4,SP0013,"S ""A"" (S-337 ) to C ""A"" (S-139 )",False,,,
5,SP0014,"C ""A"" (S-7 )",False,,,
6,SP0018,"C ""A"" (S-23 )",True,,Adopted on 4/30/2025,Adopted on 4/29/2025
8,SP0020,"C ""A"" (S-106 )",True,,Adopted on 5/22/2025,Adopted on 5/20/2025
9,SP0022,"C ""A"" (S-219 )",True,,Adopted on 6/2/2025,Adopted on 6/2/2025
10,SP0023,"C ""A"" (S-260 )",False,An Act to Add Political Activity as a Protected Class in Certain Provisions of the Maine Human Rights Act,,
11,SP0024,"C ""A"" (S-142 )",True,,Adopted on 5/28/2025,Adopted on 5/27/2025
13,SP0026,"C ""A"" (S-291 )",True,An Act to Provide Funds Necessary for the Production and Delivery of Election Materials by the Secretary of State,Adopted on 6/9/2025,Adopted on 6/5/2025
14,SP0027,"C ""A"" (S-55 )",True,,Adopted on 5/14/2025,Adopted on 5/13/2025
15,SP0062,"C ""A"" (S-399 )",True,An Act to Modify the Excise Tax on Camper Trailers,Adopted on 6/16/2025,Adopted on 6/13/2025
16,SP0063,"C ""A"" (S-81 )",True,,,Adopted on 5/20/2025
18,SP0030,"C ""A"" (S-268 )",True,An Act to Offset the Costs of Client Medical Care Support Workers at Department of Corrections Facilities and Study Correctional Service Fees and Collections,Adopted on 6/5/2025,Adopted on 6/4/2025
18,SP0030,"C ""B"" (S-269 )",False,,,
19,SP0032,"C ""A"" (S-606 )",False,,Defeated on 4/7/2026,
19,SP0032,"C ""B"" (S-607 )",True,An Act Related to Oversized All-terrain Vehicles,Adopted on 4/7/2026,Adopted on 4/6/2026
19,SP0032,"C ""C"" (S-608 )",False,An Act to Allow Oversized All-terrain Vehicle Registration for Individuals with a Disability Registration Plate,,
20,SP0033,"C ""A"" (S-105 )",True,,Adopted on 5/22/2025,Adopted on 5/20/2025
22,SP0035,"C ""A"" (S-111 )",True,,Adopted on 5/22/2025,Adopted on 5/21/2025
