ld,paper,origin_chamber,snum,title,committee,final_disposition,governor_action,chaptered_law,chapter,became_law,last_house_action,last_senate_action,sponsor_count,action_count,roll_call_count,amendment_count,ps_url,lawmaker_summary_url
1,SP0029,Senate,132,"An Act to Increase Storm Preparedness for Maine's Communities, Homes and Infrastructure",Housing and Economic Development,"Emergency Enacted, Apr 22, 2025","Emergency Signed, Apr 22, 2025","ACTPUB, Chapter 33",33,True,"4/15/2025 - This being an emergency measure, a two-thirds vote of all the members elected to the House was necessary. PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.","4/22/2025 - Taken from the table by the President PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",4,10,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0029,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0029&SessionID=16
2,SP0011,Senate,132,An Act to Allow Military Vehicles Purchased for Civilian Use to Be Registered and Operated on Maine Roads,Transportation,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 1, 2025",,,,False,None,4/1/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),2,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0011,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0011&SessionID=16
3,SP0012,Senate,132,An Act to Adopt Eastern Daylight Time Year-round Contingent on Federal Approval,State and Local Government,"Enacted, Jun 9, 2025","Signed, Jun 9, 2025","ACTPUB, Chapter 191",191,True,6/2/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/2/2025 - PASSED TO BE ENACTED , in concurrence.",3,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0012,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0012&SessionID=16
4,SP0013,Senate,132,An Act to Adopt Eastern Standard Time Year-round,State and Local Government,"Indefinitely Postponed, Jun 10, 2025",,,,False,6/10/2025 - Reports READ . On motion of Representative SALISBURY of Westbrook the Bill was INDEFINITELY POSTPONED. In concurrence. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD ),"6/10/2025 - Taken from the table by the President Senator STEWART of Aroostook asked and received leave of the Senate to Withdraw their Rollcall. Subsequently, the Bill and accompanying papers were INDEFINITELY POSTPONED . Sent down for concurrence",3,12,0,2,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0013,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0013&SessionID=16
5,SP0014,Senate,132,An Act to Clarify the Law Regarding Prior Authorization for Air Ambulances,"Health Coverage, Insurance and Financial Services","Emergency Enacted, Apr 22, 2025","Emergency Signed, Apr 22, 2025","ACTPUB, Chapter 34",34,True,"4/15/2025 - This being an emergency measure, a two-thirds vote of all the members elected to the House was necessary. PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.","4/17/2025 - PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",1,6,1,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0014,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0014&SessionID=16
6,SP0018,Senate,132,An Act to Allow Persons to Label Their Wild Animal Traps with Their Online Identification Number Issued by the Department of Inland Fisheries and Wildlife,Inland Fisheries and Wildlife,"Enacted, May 9, 2025","Signed, May 9, 2025","ACTPUB, Chapter 64",64,True,5/6/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"5/7/2025 - PASSED TO BE ENACTED , in concurrence.",1,8,1,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0018,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0018&SessionID=16
7,SP0019,Senate,132,An Act to Increase the Homestead Property Tax Exemption for Residents 65 Years of Age or Older,Taxation,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 8, 2025",,,,False,None,4/8/2025 - Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),5,3,0,0,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0019,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0019&SessionID=16
8,SP0020,Senate,132,An Act Regarding the Term of Appointment of Judicial Officers,Judiciary,"Enacted, May 29, 2025","Signed, May 29, 2025","ACTPUB, Chapter 124",124,True,5/27/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"5/27/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0020,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0020&SessionID=16
9,SP0022,Senate,132,An Act Regarding Campaign Finance Disclosure,Veterans and Legal Affairs,"Enacted, Jun 10, 2025","Signed, Jun 10, 2025","ACTPUB, Chapter 224",224,True,6/3/2025 - PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,"6/3/2025 - PASSED TO BE ENACTED , in concurrence.",1,6,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0022,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0022&SessionID=16
10,SP0023,Senate,132,An Act to Add Political Affiliation as a Protected Class to the Maine Human Rights Act,Judiciary,"Accepted Majority (ONTP) Report, Jun 4, 2025",,,,False,"6/4/2025 - Reports READ . On motion of Representative KUHN of Falmouth, the Majority Ought Not to Pass Report was ACCEPTED . In concurrence. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD )",6/3/2025 - Reports READ On motion by Senator TALBOT ROSS of Cumberland The Majority Ought Not To Pass Report ACCEPTED Sent down for concurrence,1,4,0,1,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0023,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0023&SessionID=16
