ld,paper,kind,label,url
1,SP0029,bill_text,Printed Document PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0029&item=1&snum=132
1,SP0029,document,Printed Document PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0029&item=2&snum=132
1,SP0029,document,Printed Chapter PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0029&item=3&snum=132
2,SP0011,bill_text,Printed Document PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0011&item=1&snum=132
3,SP0012,bill_text,Printed Document PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0012&item=1&snum=132
3,SP0012,document,Printed Document PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0012&item=2&snum=132
3,SP0012,document,Printed Chapter PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0012&item=3&snum=132
4,SP0013,bill_text,Printed Document PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0013&item=1&snum=132
4,SP0013,document,Printed Document PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0013&item=2&snum=132
4,SP0013,document,Printed Document PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0013&item=4&snum=132
5,SP0014,bill_text,Printed Document PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0014&item=1&snum=132
5,SP0014,document,Printed Chapter PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0014&item=4&snum=132
5,SP0014,document,Printed Document PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0014&item=3&snum=132
6,SP0018,bill_text,Printed Document PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0018&item=1&snum=132
6,SP0018,document,Printed Document PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0018&item=2&snum=132
6,SP0018,document,Printed Chapter PDF,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=SP0018&item=3&snum=132
