ld,paper,chamber,number,date,motion,outcome,yeas,nays,absent,excused,vacant,yeas_required,url
5,SP0014,House,79,2025-04-10,ACC MAJ OUGHT TO PASS REP,PREVAILS,144,0,6,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095522&chamber=House&serialnumber=79
6,SP0018,House,105,2025-04-30,ACC MAJ OTP AS AMENDED REP,PREVAILS,140,0,10,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095526&chamber=House&serialnumber=105
14,SP0027,House,142,2025-05-14,acceptance of the otp-am report,PREVAILS,121,18,11,0,1,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095535&chamber=House&serialnumber=142
16,SP0063,Senate,167,2025-05-14,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,19,15,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095537&chamber=Senate&serialnumber=167
16,SP0063,Senate,184,2025-05-20,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,FAILS,14,18,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095537&chamber=Senate&serialnumber=184
16,SP0063,Senate,253,2025-05-28,INSIST/ASK FOR COMMITTEE OF CONFERENCE,FAILS,14,19,0,2,0,0,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095537&chamber=Senate&serialnumber=253
16,SP0063,House,174,2025-05-22,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,76,65,10,0,0,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095537&chamber=House&serialnumber=174
16,SP0063,House,226,2025-05-29,RECONSIDER,FAILS,68,73,10,0,0,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095537&chamber=House&serialnumber=226
19,SP0032,Senate,877,2026-04-06,ACCEPT REPORT 'A' OUGHT TO PASS AS AMENDED,FAILS,5,27,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095543&chamber=Senate&serialnumber=877
19,SP0032,House,739,2026-04-07,"acc report ""a"" otp-am by ca ""a""",FAILS,70,75,5,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095543&chamber=House&serialnumber=739
21,SP0034,Senate,204,2025-05-21,ACCEPT MAJORITY OUGHT TO PASS REPORT,PREVAILS,18,14,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095545&chamber=Senate&serialnumber=204
21,SP0034,House,169,2025-05-22,ACC MAJ OUGHT TO PASS REP,PREVAILS,79,65,7,0,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280095545&chamber=House&serialnumber=169
