ld,paper,role,title,name,chamber,district
1,SP0029,Sponsor,President,Matthea DAUGHTRY,Senate,Cumberland
1,SP0029,Cosponsor,Representative,Billy Bob FAULKINGHAM,House,Winter Harbor
1,SP0029,Cosponsor,Speaker,Ryan FECTEAU,House,Biddeford
1,SP0029,Cosponsor,Senator,Harold STEWART,Senate,Aroostook
2,SP0011,Sponsor,Senator,James LIBBY,Senate,Cumberland
2,SP0011,Cosponsor,Representative,Kimberly POMERLEAU,House,Standish
3,SP0012,Sponsor,Senator,Richard BENNETT,Senate,Oxford
3,SP0012,Cosponsor,Senator,Joseph BALDACCI,Senate,Penobscot
3,SP0012,Cosponsor,Representative,Christopher KESSLER,House,South Portland
4,SP0013,Sponsor,Senator,Richard BENNETT,Senate,Oxford
4,SP0013,Cosponsor,Senator,Joseph BALDACCI,Senate,Penobscot
4,SP0013,Cosponsor,Representative,Christopher KESSLER,House,South Portland
5,SP0014,Sponsor,Senator,Donna BAILEY,Senate,York
6,SP0018,Sponsor,Senator,Russell BLACK,Senate,Franklin
7,SP0019,Sponsor,Senator,Richard BENNETT,Senate,Oxford
7,SP0019,Cosponsor,Senator,Stacy BRENNER,Senate,Cumberland
7,SP0019,Cosponsor,Representative,Nathan CARLOW,House,Buxton
7,SP0019,Cosponsor,Senator,James LIBBY,Senate,Cumberland
7,SP0019,Cosponsor,Senator,Harold STEWART,Senate,Aroostook
8,SP0020,Sponsor,Senator,Anne CARNEY,Senate,Cumberland
9,SP0022,Sponsor,Senator,Craig HICKMAN,Senate,Kennebec
10,SP0023,Sponsor,Senator,James LIBBY,Senate,Cumberland
11,SP0024,Sponsor,Senator,Richard BENNETT,Senate,Oxford
12,SP0025,Sponsor,Senator,Richard BENNETT,Senate,Oxford
13,SP0026,Sponsor,Senator,Craig HICKMAN,Senate,Kennebec
13,SP0026,Cosponsor,Senator,Richard BENNETT,Senate,Oxford
13,SP0026,Cosponsor,Senator,Stacy BRENNER,Senate,Cumberland
13,SP0026,Cosponsor,President,Matthea DAUGHTRY,Senate,Cumberland
13,SP0026,Cosponsor,Representative,Morgan RIELLY,House,Westbrook
13,SP0026,Cosponsor,Representative,Laura SUPICA,House,Bangor
14,SP0027,Sponsor,Senator,Craig HICKMAN,Senate,Kennebec
14,SP0027,Cosponsor,Senator,Donna BAILEY,Senate,York
14,SP0027,Cosponsor,Senator,Richard BENNETT,Senate,Oxford
14,SP0027,Cosponsor,Speaker,Ryan FECTEAU,House,Biddeford
14,SP0027,Cosponsor,Representative,Tavis HASENFUS,House,Readfield
14,SP0027,Cosponsor,Senator,Michael TIPPING,Senate,Penobscot
15,SP0062,Sponsor,Senator,James LIBBY,Senate,Cumberland
15,SP0062,Cosponsor,Representative,Kimberly POMERLEAU,House,Standish
15,SP0062,Cosponsor,Representative,Mark WALKER,House,Naples
16,SP0063,Sponsor,Senator,Marianne MOORE,Senate,Washington
16,SP0063,Cosponsor,Representative,Aaron DANA of the Passamaquoddy Tribe Senator Nicole GROHOSKI,House,Hancock
16,SP0063,Cosponsor,Representative,Mathew MCINTYRE,House,Lowell
16,SP0063,Cosponsor,Representative,Nina MILLIKEN,House,Blue Hill
16,SP0063,Cosponsor,Representative,Arthur MINGO,House,Calais
16,SP0063,Cosponsor,Representative,Tiffany STROUT,House,Harrington
16,SP0063,Cosponsor,Representative,William TUELL,House,East Machias
17,SP0028,Sponsor,Senator,Anne BEEBE-CENTER,Senate,Knox
18,SP0030,Sponsor,Senator,Marianne MOORE,Senate,Washington
19,SP0032,Sponsor,Senator,Marianne MOORE,Senate,Washington
19,SP0032,Cosponsor,Representative,William TUELL,House,East Machias
20,SP0033,Sponsor,Senator,Anne CARNEY,Senate,Cumberland
21,SP0034,Sponsor,Senator,Joseph RAFFERTY,Senate,York
22,SP0035,Sponsor,Senator,Joseph RAFFERTY,Senate,York
23,SP0037,Sponsor,Senator,Richard BENNETT,Senate,Oxford
23,SP0037,Cosponsor,Representative,Nathan WADSWORTH,House,Hiram
24,SP0039,Sponsor,Senator,Russell BLACK,Senate,Franklin
25,SP0040,Sponsor,Senator,Stacy BRENNER,Senate,Cumberland
26,SP0041,Sponsor,Senator,Anne CARNEY,Senate,Cumberland
27,SP0042,Sponsor,Senator,Anne CARNEY,Senate,Cumberland
28,SP0045,Sponsor,Senator,Scott CYRWAY,Senate,Kennebec
28,SP0045,Cosponsor,Senator,Richard BRADSTREET,Senate,Kennebec
29,SP0046,Sponsor,President,Matthea DAUGHTRY,Senate,Cumberland
29,SP0046,Cosponsor,Representative,Sally CLUCHEY,House,Bowdoinham
30,SP0047,Sponsor,President,Matthea DAUGHTRY,Senate,Cumberland
31,SP0048,Sponsor,Senator,Bradlee FARRIN,Senate,Somerset
31,SP0048,Cosponsor,President,Matthea DAUGHTRY,Senate,Cumberland
31,SP0048,Cosponsor,Senator,David HAGGAN,Senate,Penobscot
31,SP0048,Cosponsor,Senator,Harold STEWART,Senate,Aroostook
32,SP0049,Sponsor,Senator,Stacey GUERIN,Senate,Penobscot
32,SP0049,Cosponsor,Representative,Steven FOSTER,House,Dexter
32,SP0049,Cosponsor,Representative,Mathew MCINTYRE,House,Lowell
32,SP0049,Cosponsor,Representative,Katrina SMITH,House,Palermo
32,SP0049,Cosponsor,Representative,Nathan WADSWORTH,House,Hiram
32,SP0049,Cosponsor,Representative,James WHITE,House,Guilford
33,SP0051,Sponsor,Senator,Craig HICKMAN,Senate,Kennebec
34,SP0053,Sponsor,Senator,Teresa PIERCE,Senate,Cumberland
34,SP0053,Cosponsor,Senator,Richard BENNETT,Senate,Oxford
34,SP0053,Cosponsor,Representative,Michael BRENNAN,House,Portland
34,SP0053,Cosponsor,President,Matthea DAUGHTRY,Senate,Cumberland
34,SP0053,Cosponsor,Speaker,Ryan FECTEAU,House,Biddeford
34,SP0053,Cosponsor,Representative,Amy KUHN,House,Falmouth
34,SP0053,Cosponsor,Senator,James LIBBY,Senate,Cumberland
34,SP0053,Cosponsor,Representative,Christina MITCHELL,House,Cumberland
34,SP0053,Cosponsor,Representative,Kelly MURPHY,House,Scarborough
34,SP0053,Cosponsor,Senator,Joseph RAFFERTY,Senate,York
35,SP0056,Sponsor,Senator,Glenn CURRY,Senate,Waldo
36,SP0058,Sponsor,Senator,Denise TEPLER,Senate,Sagadahoc
37,SP0059,Sponsor,Senator,Donna BAILEY,Senate,York
37,SP0059,Cosponsor,Representative,Lori GRAMLICH,House,Old Orchard Beach
38,SP0061,Sponsor,Senator,Jeffrey TIMBERLAKE,Senate,Androscoggin
38,SP0061,Cosponsor,Senator,Bradlee FARRIN,Senate,Somerset
38,SP0061,Cosponsor,Senator,James LIBBY,Senate,Cumberland
38,SP0061,Cosponsor,Representative,Sheila LYMAN,House,Livermore Falls
38,SP0061,Cosponsor,Senator,Harold STEWART,Senate,Aroostook
39,HP0003,Sponsor,Representative,William PLUECKER,House,Warren
40,HP0004,Sponsor,Representative,William PLUECKER,House,Warren
41,HP0005,Sponsor,Representative,Kristen CLOUTIER,House,Lewiston
42,HP0006,Sponsor,Representative,Suzanne SALISBURY,House,Westbrook
43,HP0007,Sponsor,Representative,Tavis HASENFUS,House,Readfield
44,HP0008,Sponsor,Representative,Allison HEPLER,House,Woolwich
45,HP0009,Sponsor,Representative,Adam LEE,House,Auburn
46,HP0010,Sponsor,Representative,Kelly MURPHY,House,Scarborough
46,HP0010,Cosponsor,Representative,Janice DODGE,House,Belfast
46,HP0010,Cosponsor,Representative,Lori GRAMLICH,House,Old Orchard Beach
46,HP0010,Cosponsor,Representative,Amy KUHN,House,Falmouth
46,HP0010,Cosponsor,Senator,Teresa PIERCE,Senate,Cumberland
46,HP0010,Cosponsor,Senator,Joseph RAFFERTY,Senate,York
46,HP0010,Cosponsor,Representative,Holly SARGENT,House,York
47,HP0011,Sponsor,Representative,Richard MASON,House,Lisbon
48,HP0012,Sponsor,Representative,Kristen CLOUTIER,House,Lewiston
49,HP0013,Sponsor,Representative,Kristen CLOUTIER,House,Lewiston
50,HP0014,Sponsor,Representative,Janice DODGE,House,Belfast
50,HP0014,Cosponsor,Senator,Glenn CURRY,Senate,Waldo
51,HP0015,Sponsor,Representative,Daniel SHAGOURY,House,Hallowell
52,HP0016,Sponsor,Representative,Amy ROEDER,House,Bangor
53,HP0017,Sponsor,Representative,Jennifer POIRIER,House,Skowhegan
54,HP0018,Sponsor,Representative,Amy ROEDER,House,Bangor
55,HP0019,Sponsor,Representative,Michael LEMELIN,House,Chelsea
