ld,paper,major,minor,detail
2,SP0011,MOTOR VEHICLES,REGISTRATION,REPURPOSED MILITARY VEHICLES
3,SP0012,STATE GOVERNMENT,PLANNING,YEAR-ROUND EASTERN DAYLIGHT TIME
4,SP0013,STATE GOVERNMENT,PLANNING,YEAR-ROUND EASTERN STANDARD TIME
5,SP0014,INSURANCE,HEALTH INSURANCE,PRIOR AUTHORIZATION
6,SP0018,TRAPPING,REGULATIONS,LABELING REQUIREMENTS
7,SP0019,PROPERTY TAX,RELIEF,HOMESTEAD EXEMPTION
8,SP0020,COURTS,JUDICIAL OFFICERS,TERMS
9,SP0022,ELECTIONS,CAMPAIGN FINANCE,DISCLOSURES
10,SP0023,HUMAN RIGHTS,DISCRIMINATION,POLITICAL AFFILIATION
11,SP0024,SCHOOL FACILITIES,BUILDINGS,TEMPERATURE STANDARDS
12,SP0025,FREEDOM OF ACCESS,PUBLIC PROCEEDINGS,CAUCUSES
13,SP0026,ELECTIONS,POLLING PLACES,MATERIALS AND WORKING GROUP
14,SP0027,PUBLIC LANDS,STATE PARKS,"FREE ADMISSION, INDIGENOUS PEOPLES"
15,SP0062,MISCELLANEOUS TAXES,EXCISE TAX,TOW-BEHIND RECREATIONAL VEHICLES
16,SP0063,COURTS,JUDICIAL REGIONS,DOWNEAST MAINE
17,SP0028,CORRECTIONAL INSTITUTIONS,MANAGEMENT,BOLDUC CORRECTIONAL FACILITY
18,SP0030,CORRECTIONAL INSTITUTIONS,MANAGEMENT,HEALTH CARE COSTS
19,SP0032,RECREATION,RECREATIONAL VEHICLES,ATV
20,SP0033,COURTS,DISTRICT COURT,ANDROSCOGGIN AND AROOSTOOK
21,SP0034,SCHOOL POLICIES,DISCIPLINE,CODES OF CONDUCT
22,SP0035,SCHOOL ADMINISTRATION,UNORGANIZED TERRITORY,PROVISIONS REVISED
23,SP0037,HEALTH CARE PERSONNEL,DENTAL,PRACTICE OPERATION
24,SP0039,PUBLIC LANDS,CONVEYANCES,LINCOLN PLT AND SANDY RIVER PLT
25,SP0040,BOND ISSUES,SEWER DISTRICTS,CONSTRUCTION
26,SP0041,ENVIRONMENTAL PROTECTION DEPT,ADMINISTRATION,GROUND WATER FUND
27,SP0042,HUNTING,LICENSES,LANDOWNERS
28,SP0045,FIRE SAFETY,FIRE DEPARTMENTS,FAIRFIELD FACILITY NAME
29,SP0046,RAILROADS,TRAILS,TOPSHAM TO GARDINER
30,SP0047,RAILROADS,TRAILS,PORTLAND TO YARMOUTH
31,SP0048,SCHOOL POLICIES,RESIDENCY,MILITARY-CONNECTED STUDENTS
32,SP0049,ELECTRIC UTILITIES,RATES,NET ENERGY BILLING
33,SP0051,GAMBLING,INTERNET,FANTASY CONTESTS
34,SP0053,TEACHERS,COMPENSATION,MINIMUM SALARY
35,SP0056,MEDICAID,MAINECARE,AMBULANCE SERVICES
36,SP0058,ENVIRONMENTAL PROTECTION BOARD,PROCEDURES,PROVISIONS REVISED
37,SP0059,ROADS,BRIDGES,CAPTAIN CHRISTOPHER S. CASH MEMORI
38,SP0061,ELECTIONS,VOTING PROCEDURES,PHOTO ID
39,HP0003,FORESTRY,PRACTICES,CARBON OFFSET
40,HP0004,HUNTING,REGULATIONS,COMMERCIAL LARGE GAME SHOOTING
41,HP0005,REVENUE SERVICES BUREAU,CONVEYANCES,UNORGANIZED TERRITORY
42,HP0006,JUVENILE OFFENDERS,DETENTION,FACILITY
43,HP0007,PROBATION,TERMINATION,VICTIMS OF CRIME
44,HP0008,FISH,EELS,ELVER FISHING
