ld,paper,chamber,title,committee,status,became_law,chapter,primary_sponsor,cosponsors,subjects,num_sponsors,num_actions,num_roll_calls,num_amendments,latest_action_date,latest_action,ps_url,lawmaker_url
1,SP0029,Senate,"An Act to Increase Storm Preparedness for Maine's Communities, Homes and Infrastructure",Housing and Economic Development,Enacted (ch. 33),True,33,President Matthea DAUGHTRY (Cumberland),Rep. Billy Bob FAULKINGHAM (Winter Harbor); Speaker Ryan FECTEAU (Biddeford); Sen. Harold STEWART (Aroostook),,4,10,0,1,2025-04-22,"Taken from the table by the President PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0029,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0029&SessionID=16
2,SP0011,Senate,An Act to Allow Military Vehicles Purchased for Civilian Use to Be Registered and Operated on Maine Roads,Transportation,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 1, 2025",False,,Sen. James LIBBY (Cumberland),Rep. Kimberly POMERLEAU (Standish),MOTOR VEHICLES,2,3,0,0,2025-04-01,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0011,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0011&SessionID=16
3,SP0012,Senate,An Act to Adopt Eastern Daylight Time Year-round Contingent on Federal Approval,State and Local Government,Enacted (ch. 191),True,191,Sen. Richard BENNETT (Oxford),Sen. Joseph BALDACCI (Penobscot); Rep. Christopher KESSLER (South Portland),STATE GOVERNMENT,3,6,0,1,2025-06-02,"Reports READ . On motion of Representative SALISBURY of Westbrook, the Majority Ought to Pass as Amended Report was ACCEPTED . The Bill was READ ONCE . Committee Amendment ""A"" (S-180) was READ and ADOPTED . Under suspension of the rules, the Bill was given its SECOND READING without REFERENCE to the Committee on Bills in the Second Reading . The Bill was PASSED TO BE ENGROSSED as Amended by Committee Amendment ""A"" (S-180) . In concurrence. ORDERED SENT FORTHWITH.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0012,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0012&SessionID=16
4,SP0013,Senate,An Act to Adopt Eastern Standard Time Year-round,State and Local Government,"Indefinitely Postponed, Jun 10, 2025",False,,Sen. Richard BENNETT (Oxford),Sen. Joseph BALDACCI (Penobscot); Rep. Christopher KESSLER (South Portland),STATE GOVERNMENT,3,12,0,2,2025-06-10,"Taken from the table by the President Senator STEWART of Aroostook asked and received leave of the Senate to Withdraw their Rollcall. Subsequently, the Bill and accompanying papers were INDEFINITELY POSTPONED . Sent down for concurrence",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0013,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0013&SessionID=16
5,SP0014,Senate,An Act to Clarify the Law Regarding Prior Authorization for Air Ambulances,"Health Coverage, Insurance and Financial Services",Enacted (ch. 34),True,34,Sen. Donna BAILEY (York),,INSURANCE,1,6,1,1,2025-04-17,"PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0014,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0014&SessionID=16
6,SP0018,Senate,An Act to Allow Persons to Label Their Wild Animal Traps with Their Online Identification Number Issued by the Department of Inland Fisheries and Wildlife,Inland Fisheries and Wildlife,Enacted (ch. 64),True,64,Sen. Russell BLACK (Franklin),,TRAPPING,1,8,1,1,2025-05-07,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0018,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0018&SessionID=16
7,SP0019,Senate,An Act to Increase the Homestead Property Tax Exemption for Residents 65 Years of Age or Older,Taxation,"Ought Not to Pass Pursuant To Joint Rule 310, Apr 8, 2025",False,,Sen. Richard BENNETT (Oxford),Sen. Stacy BRENNER (Cumberland); Rep. Nathan CARLOW (Buxton); Sen. James LIBBY (Cumberland); Sen. Harold STEWART (Aroostook),PROPERTY TAX,5,3,0,0,2025-04-08,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0019,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0019&SessionID=16
8,SP0020,Senate,An Act Regarding the Term of Appointment of Judicial Officers,Judiciary,Enacted (ch. 124),True,124,Sen. Anne CARNEY (Cumberland),,COURTS,1,6,0,1,2025-05-27,PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0020,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0020&SessionID=16
9,SP0022,Senate,An Act Regarding Campaign Finance Disclosure,Veterans and Legal Affairs,Enacted (ch. 224),True,224,Sen. Craig HICKMAN (Kennebec),,ELECTIONS,1,6,0,1,2025-06-03,PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0022,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0022&SessionID=16
10,SP0023,Senate,An Act to Add Political Affiliation as a Protected Class to the Maine Human Rights Act,Judiciary,"Accepted Majority (ONTP) Report, Jun 4, 2025",False,,Sen. James LIBBY (Cumberland),,HUMAN RIGHTS,1,4,0,1,2025-06-04,"Reports READ . On motion of Representative KUHN of Falmouth, the Majority Ought Not to Pass Report was ACCEPTED . In concurrence. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD )",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0023,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0023&SessionID=16
